LABEL_PERSON,LABEL_GPE,LABEL_NORP,LABEL_ORG,LABEL_EVENT,POS_ADJ,POS_ADV,POS_INTJ,POS_NOUN,POS_PROPN,POS_VERB,POS_ADP,POS_AUX,POS_CONJ,POS_DET,POS_NUM,POS_PART,POS_PRON,POS_SCONJ,EMOTION_anger,EMOTION_anticipation,EMOTION_disgust,EMOTION_fear,EMOTION_joy,SENTIMENT_negative,SENTIMENT_positive,EMOTION_sadness,EMOTION_surprise,EMOTION_trust,ATTRIB_avg_sentence_length,ATTRIB_avg_word_length,ATTRIB_length_of_tweet,ATTRIB_number_of_capital_letters,ATTRIB_number_of_emojis,ATTRIB_number_of_exclamation_marks,ATTRIB_number_of_hashtags,ATTRIB_number_of_periods,ATTRIB_number_of_question_marks,ATTRIB_number_of_sentences,ATTRIB_number_of_special_characters,ATTRIB_number_of_uppercase_words,ATTRIB_number_of_user_mentions,ATTRIB_number_of_words,TWEET_days_since_tweet_creation,TWEET_retweet_count,TWEET_favorite_count,TWEET_verified,TWEET_followers_count,TWEET_friends_count,TWEET_listed_count,TWEET_favourites_count,TWEET_statuses_count,TWEET_days_since_account_creation,TWEET_url_length,MALICIOUS
0,0,0,0,0,0,0,0,2,0,6,2,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,61.5,6.833333333,142,14,0,0,1,2,1,2,13,1,0,18,37,1,6,TRUE,12080,2890,37,1519,6883,4157,21,1
0,1,1,1,0,3,0,0,3,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,64.5,8.6,143,23,0,0,1,3,0,2,13,1,1,15,35,0,0,FALSE,3,29,0,15,55,45,20,1
0,0,0,0,0,1,0,0,2,4,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,0,1,4,30.75,6.15,143,22,0,0,5,5,0,4,18,3,0,20,35,0,0,FALSE,23,86,0,8,24,3919,20,1
0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,67,12.18181818,145,13,0,0,5,2,0,2,15,0,0,11,35,1,1,FALSE,1107,4413,6,1228,2887,1045,19,1
0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,3,29.75,7,136,16,0,0,4,5,0,4,18,0,0,17,33,0,0,FALSE,23,86,0,8,26,3919,20,1
0,0,0,1,0,0,1,0,3,4,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,42,6,97,11,0,0,1,2,0,2,9,1,0,14,38,0,3,FALSE,478730,261,778,3609,341937,3738,21,1
0,0,0,1,0,0,0,0,3,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,89,7.416666667,100,15,0,0,1,1,0,1,7,1,0,12,39,0,4,FALSE,478730,261,778,3609,341937,3738,21,1
0,0,0,1,0,0,0,0,3,1,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,89,7.416666667,100,11,0,0,1,1,0,1,7,1,0,12,38,0,1,FALSE,4352,225,38,497,39995,2853,21,1
0,0,0,0,0,1,0,0,3,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,78,6,90,8,0,0,2,1,0,1,8,0,0,13,35,0,3,FALSE,479163,261,780,3608,342427,3738,21,1
0,0,0,1,0,0,1,0,1,7,1,2,1,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,99,6.6,113,12,0,0,2,1,0,1,8,0,0,15,35,0,1,FALSE,479168,261,780,3609,342446,3738,21,1
0,0,0,0,0,1,0,0,3,1,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,78,6,90,10,0,0,2,1,0,1,8,0,0,13,35,0,0,FALSE,4357,225,38,497,40114,2853,21,1
0,0,0,0,0,1,0,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,112,8,126,10,0,0,1,1,0,1,7,0,1,14,35,1,3,FALSE,479178,261,780,3609,342454,3738,21,1
1,0,0,0,0,0,0,0,4,3,3,2,0,0,0,0,1,0,0,0,1,1,2,0,2,0,0,0,0,105,8.076923077,117,9,0,0,1,1,0,1,6,0,0,13,35,0,0,FALSE,479178,261,780,3609,342454,3738,21,1
0,0,0,0,0,1,0,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,112,8,126,10,0,0,1,1,0,1,7,0,1,14,34,0,0,FALSE,4358,225,38,497,40126,2853,21,1
0,0,0,1,0,2,0,0,1,2,2,1,0,0,0,2,0,0,0,1,1,2,1,0,2,0,1,1,0,90,7.5,101,6,0,0,2,1,0,1,7,0,0,12,35,0,0,FALSE,4358,225,38,497,40127,2853,20,1
0,0,0,0,0,1,0,0,3,2,1,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,103,6.4375,118,8,1,0,3,1,0,1,9,0,0,16,34,4,6,FALSE,479283,261,780,3609,342583,3738,21,1
0,0,0,0,0,1,0,0,3,2,1,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,103,6.4375,118,9,1,0,3,1,0,1,9,0,0,16,34,0,0,FALSE,4362,225,38,497,40150,2853,21,1
0,0,0,0,0,1,0,0,3,5,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,2,102,7.846153846,114,11,0,0,2,1,0,1,9,0,0,13,34,0,0,FALSE,809,1473,15,3825,15991,3612,20,1
0,0,0,0,0,1,0,0,3,5,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,2,95,7.916666667,106,10,0,0,1,1,0,1,8,0,0,12,34,1,2,FALSE,479289,261,780,3609,342590,3738,21,1
0,0,0,1,0,2,0,0,3,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106,7.066666667,120,15,0,0,0,5,0,1,14,1,0,15,33,0,0,FALSE,131,32,1,14,223063,332,71,1
0,1,0,0,0,0,0,0,5,3,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,106,6.625,121,14,0,0,0,5,0,1,15,1,0,16,33,0,0,FALSE,131,32,1,14,223064,332,58,1
0,0,0,1,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,78,7.090909091,88,4,0,0,2,1,0,1,7,0,0,11,33,1,2,FALSE,479468,261,780,3609,342756,3738,21,1
0,0,0,1,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,78,7.090909091,88,7,0,0,2,1,0,1,7,0,0,11,33,0,0,FALSE,4367,225,38,497,40207,2853,21,1
1,0,0,0,0,0,1,0,3,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.5,6.6875,122,10,0,1,1,1,0,2,7,1,0,16,31,0,0,FALSE,479642,261,781,3610,343007,3738,21,1
1,0,0,0,0,0,1,0,3,3,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.5,6.6875,122,12,0,1,1,1,0,2,7,1,0,16,31,0,0,FALSE,4375,225,39,497,40285,2853,21,1
0,0,0,1,0,0,0,0,5,5,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,110,6.111111111,127,7,0,0,1,1,0,1,6,0,0,18,31,0,3,FALSE,479637,261,781,3610,343023,3738,21,1
0,0,0,0,0,0,1,0,4,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,8.333333333,142,12,0,0,2,2,0,1,12,0,0,15,30,0,0,FALSE,648,4303,0,551,1479,719,26,1
0,0,0,0,0,1,0,0,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,113,8.692307692,126,9,0,0,0,2,0,1,13,1,0,13,29,0,0,FALSE,92,64,0,7,792,399,20,1
0,0,0,2,0,0,0,0,2,4,2,3,1,0,1,0,0,1,0,2,1,0,2,0,2,1,0,0,0,95,6.333333333,109,13,0,0,2,1,0,1,7,1,0,15,28,2,2,FALSE,479968,261,780,3610,343455,3738,20,1
0,0,0,0,0,0,0,0,4,3,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,109,6.8125,124,11,0,0,2,1,0,1,7,0,0,16,28,0,5,FALSE,479968,261,780,3610,343455,3738,21,1
0,0,0,1,0,3,0,0,2,5,0,2,0,0,1,0,0,0,0,2,1,2,2,0,2,0,2,2,0,100,8.333333333,112,15,0,0,3,1,0,1,9,0,0,12,26,2,6,FALSE,480089,262,780,3610,343609,3738,21,1
1,0,0,0,0,0,0,0,3,6,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114,7.125,133,15,0,0,3,1,0,1,9,0,0,16,27,1,5,FALSE,480090,262,780,3610,343610,3738,21,1
1,0,0,0,0,0,0,0,3,6,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,114,7.125,133,16,0,0,3,1,0,1,9,0,0,16,26,1,1,FALSE,4413,225,39,498,40443,2853,21,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,121,11,132,10,0,0,9,2,0,1,19,0,0,11,26,6,7,FALSE,92134,101358,176,7,118,3339,27,1
0,0,0,0,0,0,0,1,12,22,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,190,13.57142857,203,8,0,1,2,3,0,1,13,1,0,14,20,0,0,FALSE,253,46,0,2,9372,1012,86,1
1,0,0,0,0,0,0,0,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7.888888889,79,7,0,0,1,1,0,1,6,0,0,9,18,0,2,FALSE,480903,262,778,3609,344681,3738,21,1
1,0,0,0,0,0,0,0,2,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7.888888889,79,9,0,0,1,1,0,1,6,0,0,9,18,1,1,FALSE,4463,226,39,499,40778,2853,21,1
0,0,0,1,0,1,0,0,4,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,115,8.214285714,129,22,0,0,2,2,0,1,13,1,0,14,18,0,3,TRUE,85560,781,1203,570,369652,4080,20,1
0,0,0,1,0,0,2,0,2,4,2,0,1,0,1,0,1,1,0,2,0,1,2,0,2,1,1,1,1,118,6.210526316,135,8,0,0,1,1,0,1,7,0,0,19,18,6,9,FALSE,480960,262,778,3609,344769,3738,21,1
0,0,0,1,0,0,2,0,2,4,2,0,1,0,1,0,1,1,0,3,0,2,2,0,2,1,2,1,1,118,6.210526316,135,7,0,0,1,1,0,1,7,0,0,19,18,0,0,FALSE,4468,226,39,499,40805,2853,21,1
0,0,0,0,0,1,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,80,7.272727273,90,5,0,0,2,1,0,1,7,0,0,11,18,0,1,FALSE,480964,262,778,3609,344770,3738,21,1
0,0,0,0,0,1,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,80,7.272727273,90,9,0,0,2,1,0,1,7,0,0,11,18,0,0,FALSE,4468,226,39,499,40805,2853,21,1
0,0,0,0,0,1,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,76,7.6,85,8,0,0,0,1,0,1,6,1,0,10,12,0,0,FALSE,1073,1082,1,1146,26278,3126,33,1
0,1,0,6,0,1,0,3,35,21,4,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,121,12.73684211,260,7,1,1,0,2,0,2,11,0,0,19,38,0,0,FALSE,2850,109,43,24,31382,2267,109,1
3,0,0,3,0,2,0,2,31,32,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,244,14.35294118,260,7,4,0,0,2,0,1,10,0,0,17,36,0,1,FALSE,2847,109,43,24,31411,2267,110,1
1,0,0,0,0,0,0,0,3,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,121,11,131,9,0,0,3,2,0,1,14,0,0,11,35,0,0,FALSE,4,5,0,0,40,447,19,1
1,1,0,1,0,0,2,0,4,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,126,10.5,137,18,0,0,2,2,0,1,13,0,0,12,35,0,0,FALSE,4,5,0,0,40,447,19,1
0,0,0,0,0,1,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,129,7.166666667,146,15,3,0,2,2,0,1,15,0,0,18,35,0,0,FALSE,417,824,3,10430,955,2234,19,1
0,0,0,1,0,0,0,0,3,1,2,0,1,0,0,2,0,2,0,0,0,0,1,0,1,1,0,0,0,89,6.357142857,103,14,1,1,1,1,0,1,10,0,0,14,34,0,0,FALSE,4360,4902,9,7628,26925,799,20,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,19,0,0,0,2,0,1,13,0,0,15,35,0,0,FALSE,22414,13,19,2334,214806,553,23,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,16,0,0,0,2,0,1,13,0,0,15,34,0,0,FALSE,22424,13,19,2334,214961,553,23,1
0,0,0,1,0,1,1,0,1,2,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,114,8.769230769,127,19,0,0,3,2,0,1,14,1,0,13,34,0,0,FALSE,3492,1132,24,852,34587,2518,16,1
0,1,0,1,0,2,0,0,3,5,1,3,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,65,7.647058824,146,15,0,0,1,2,1,2,12,2,0,17,34,0,2,FALSE,54,16,0,9,32,72,20,1
0,1,0,1,0,0,0,0,2,3,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,100,7.692307692,112,16,0,0,3,1,0,1,8,1,0,13,33,0,0,FALSE,479327,261,780,3609,342625,3738,21,1
0,0,0,3,0,0,0,0,3,2,3,3,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,1,113,6.647058824,132,13,0,0,2,1,0,1,8,1,0,17,34,0,0,TRUE,85127,780,1201,569,368027,4080,20,1
0,0,0,1,0,0,1,0,3,1,3,2,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,112,6.222222222,129,8,1,0,0,2,0,1,8,0,1,18,33,0,0,FALSE,139,250,1,60786,13807,2164,127,1
0,1,0,0,0,0,1,0,6,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,130,8.125,146,15,1,0,0,2,0,1,12,1,0,16,33,0,0,FALSE,1654,1814,52,10,523869,3762,91,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,14.55555556,139,23,0,0,0,1,0,1,14,0,8,9,33,0,0,FALSE,20,13,0,4,551,227,107,1
0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,127,9.769230769,140,11,0,0,0,2,0,1,11,0,0,13,33,0,0,FALSE,1654,1814,52,10,523869,3762,103,1
0,0,0,0,0,2,0,0,3,2,3,2,0,0,1,0,0,0,1,0,1,0,2,0,2,1,0,1,1,119,9.153846154,132,11,0,0,1,2,0,1,12,0,0,13,33,0,0,FALSE,18,10,0,34,308,364,18,1
0,0,0,0,0,1,0,0,6,1,0,5,0,0,2,1,0,1,0,0,0,0,2,0,2,0,1,0,0,128,8,143,18,0,0,1,2,0,1,12,1,0,16,33,0,0,TRUE,9376,972,254,9249,19670,4129,18,1
0,0,0,1,0,0,0,0,6,1,2,2,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,119,7.4375,134,23,0,0,0,5,0,1,15,2,0,16,32,0,0,FALSE,133,32,1,14,224122,332,32,1
0,0,0,0,0,0,0,0,2,2,4,3,0,0,2,0,0,0,0,0,1,1,2,0,3,2,2,0,1,52.5,6.176470588,121,8,0,1,2,1,0,2,9,0,0,17,32,0,0,FALSE,4368,225,38,497,40212,2853,21,1
0,0,0,2,0,0,0,0,1,4,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111,10.09090909,121,13,0,0,0,5,0,1,15,0,0,11,32,0,0,FALSE,133,32,1,14,224122,332,55,1
0,0,0,1,0,2,0,0,5,3,1,3,1,0,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,121,6.05,142,11,1,0,1,1,0,1,7,0,0,20,32,0,0,TRUE,85173,780,1202,569,368133,4080,21,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,18,0,0,0,2,0,1,13,0,0,15,32,0,0,FALSE,22397,13,19,2334,215294,553,23,1
0,0,0,0,0,1,0,0,2,3,2,3,0,0,1,0,1,0,0,0,1,0,1,0,2,1,1,0,1,52.5,7,120,10,0,0,1,1,0,2,9,0,1,15,32,0,0,FALSE,22,290,0,289,163,125,21,1
1,0,0,1,0,1,1,0,3,2,2,1,0,0,0,0,1,0,0,0,2,0,0,2,0,2,0,1,2,106,8.833333333,117,10,0,0,0,5,0,1,15,1,0,12,32,0,0,FALSE,133,32,1,14,224310,332,72,1
0,0,0,0,0,2,0,1,2,1,4,2,0,0,2,0,1,1,0,0,1,0,1,1,2,1,0,1,1,122,8.714285714,135,14,0,0,3,1,0,1,8,1,0,14,32,0,0,FALSE,4371,225,39,497,40244,2853,21,1
0,0,0,0,0,2,0,1,2,1,4,2,0,0,2,0,1,1,0,0,1,0,1,1,2,1,0,1,1,122,8.714285714,135,14,0,0,3,1,0,1,8,1,0,14,32,0,2,FALSE,479568,261,779,3610,342879,3738,20,1
1,0,0,0,0,0,0,0,3,3,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,101,7.769230769,113,14,0,0,0,5,0,1,16,0,0,13,32,0,0,FALSE,133,32,1,14,225074,332,72,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,19,0,0,0,2,0,1,13,0,0,15,32,0,0,FALSE,22351,13,19,2336,215563,553,23,1
0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,107,9.727272727,117,11,0,0,0,5,0,1,16,1,0,11,31,0,0,FALSE,131,32,0,14,225995,332,64,1
0,1,0,1,0,0,0,0,2,7,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,119,7.933333333,133,14,0,0,0,1,0,1,7,0,0,15,31,0,0,FALSE,1919,1494,8,71754,32534,4334,163,1
0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,107,9.727272727,117,11,0,0,0,5,0,1,16,1,0,11,31,0,0,FALSE,131,32,0,14,225995,332,64,1
0,0,0,1,0,1,0,0,1,5,1,2,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,129,8.6,144,17,1,0,0,2,0,1,14,1,0,15,31,0,0,FALSE,1657,1816,53,10,524693,3762,75,1
0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,107,9.727272727,117,11,0,0,0,5,0,1,16,1,0,11,31,0,0,FALSE,131,32,0,14,225995,332,66,1
1,1,0,0,0,0,2,0,2,2,1,1,0,0,2,0,1,0,1,0,1,0,0,1,0,1,0,1,0,99,7.071428571,112,15,0,0,0,5,0,1,15,1,0,14,31,0,0,FALSE,131,32,0,14,225995,332,77,1
1,0,0,1,0,1,0,0,4,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,7.352941176,142,14,0,0,0,2,0,1,13,1,0,17,31,0,0,FALSE,1657,1816,53,10,524693,3762,81,1
0,0,0,0,0,2,0,0,4,2,1,2,2,0,1,2,0,0,0,0,0,0,2,0,2,0,1,0,0,111,6.529411765,128,10,1,0,2,1,0,1,8,0,0,17,31,1,0,FALSE,12252,1672,50,457,16537,3574,40,1
0,0,0,5,0,0,0,1,4,19,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,141,12.81818182,151,65,0,0,0,1,0,1,6,5,0,11,31,0,0,FALSE,122,272,0,4,5985,2144,104,1
0,0,0,1,0,0,0,0,3,1,2,0,1,0,0,2,0,2,0,0,0,0,1,0,1,1,0,0,0,89,6.357142857,103,12,1,1,1,1,0,1,10,0,0,14,31,0,0,FALSE,4365,4903,9,7647,27116,799,20,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,19,0,0,0,2,0,1,13,0,0,15,31,0,0,FALSE,22354,13,20,2337,215810,553,23,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,19,0,0,0,2,0,1,13,0,0,15,31,0,0,FALSE,22354,13,20,2337,215810,553,23,1
0,0,0,1,0,0,0,0,2,3,1,3,1,0,1,1,0,1,0,1,0,0,2,0,2,1,1,0,1,89,6.846153846,101,7,1,0,2,1,0,1,7,0,0,13,31,2,8,FALSE,479637,261,781,3610,343023,3738,21,1
1,0,0,1,0,0,0,0,0,8,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,124,6.888888889,142,17,0,0,0,2,0,1,14,1,0,18,31,0,0,FALSE,1657,1816,53,10,524758,3762,70,1
0,0,0,0,0,1,1,0,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,95,7.916666667,106,11,0,0,0,5,0,1,15,0,0,12,31,0,0,FALSE,131,32,0,14,226248,332,93,1
0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,14.57142857,108,20,0,0,3,2,0,1,13,1,0,7,31,0,0,FALSE,59,14,0,0,7192,352,16,1
0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,0,1,0,0,1,1,0,1,1,2,1,1,1,1,75,9.375,82,9,0,0,1,1,0,1,6,0,0,8,31,0,4,FALSE,479634,261,781,3610,343032,3738,21,1
0,0,0,0,0,0,2,1,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,50,9.090909091,110,23,0,0,0,6,0,2,16,1,0,11,30,0,0,FALSE,131,32,0,14,226476,332,79,1
0,0,0,0,0,1,0,0,5,3,1,2,1,0,3,1,1,0,0,0,1,0,0,1,0,2,0,0,1,120,6.315789474,138,11,0,0,0,4,0,1,13,1,0,19,30,0,0,FALSE,131,32,0,14,226476,332,166,1
1,2,0,0,0,1,0,0,5,4,3,2,0,0,0,0,2,0,0,0,2,0,0,1,1,2,1,0,5,115,6.764705882,132,10,0,0,0,1,0,1,6,0,0,17,30,0,0,FALSE,158,97,4,0,147623,1758,36,1
0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,47,7.833333333,53,7,0,0,0,2,0,1,7,0,0,6,30,0,0,FALSE,2717,3713,25,1211,18151,4052,23,1
1,0,0,0,0,1,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,75,8.333333333,84,8,0,0,0,1,0,1,5,0,0,9,30,0,0,FALSE,60,256,0,110,746,3813,136,1
0,1,0,0,0,0,0,0,5,2,1,4,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,103,6.866666667,118,8,0,0,0,1,0,1,6,0,0,15,30,0,0,FALSE,158,97,4,0,147623,1758,36,1
0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,14.57142857,108,20,0,0,3,2,0,1,13,1,0,7,30,0,0,FALSE,60,14,1,0,7244,352,16,1
0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,125,8.333333333,140,17,0,0,0,2,0,1,13,0,0,15,30,0,0,FALSE,22345,13,20,2340,216157,553,23,1
